TIRF Data File: Project 1320; Run 124
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none
0.000	-0.02	0.30	-0.019	0.024	10.047	-12.244	12.01	0.21	-4.59	-242.33	13.76	4.25	0.00	0.02	89.98	81.00	82.42	82.18	79.98	-1.821
0.020	-0.02	0.22	-0.015	0.030	10.048	-18.693	12.00	3.91	-4.77	-242.59	13.87	7.84	-0.02	0.02	89.98	80.98	82.40	82.18	80.00	-1.538
0.040	-0.02	0.26	-0.012	0.028	10.046	-12.212	12.01	2.28	-3.99	-242.61	14.31	5.47	-0.01	0.02	89.91	81.00	82.37	82.23	79.96	-1.823
0.060	-0.03	0.22	-0.018	0.027	10.047	-23.043	12.00	0.87	-4.44	-242.11	14.01	5.22	0.00	0.02	89.98	80.98	82.31	82.18	80.00	-1.436
0.080	-0.02	0.26	-0.021	0.031	10.048	-14.064	12.03	4.13	-4.16	-242.13	13.87	8.00	-0.02	0.02	89.98	80.98	82.28	82.21	79.97	-1.714
0.100	-0.03	0.22	-0.021	0.021	10.048	-23.043	12.00	1.06	-4.11	-242.43	14.35	4.41	0.00	0.02	89.87	80.98	82.25	82.23	80.00	-1.436
0.120	-0.02	0.22	-0.019	0.022	10.048	-14.343	12.01	1.52	-4.43	-242.61	14.10	5.80	-0.01	0.02	89.91	81.00	82.31	82.29	79.98	-1.700
0.140	-0.02	0.22	-0.017	0.025	10.047	-16.518	12.00	3.95	-4.76	-242.11	13.70	7.54	-0.02	0.02	89.87	80.98	82.25	82.26	79.99	-1.608
0.160	-0.02	0.26	-0.018	0.024	10.048	-14.064	12.01	0.47	-4.12	-242.38	14.60	3.92	0.00	0.02	89.87	80.98	82.28	82.26	79.99	-1.714
0.180	-0.03	0.26	-0.021	0.030	10.047	-19.619	12.02	2.74	-4.61	-242.25	13.96	6.86	-0.01	0.02	89.87	81.00	82.31	82.23	79.97	-1.512
0.200	-0.02	0.26	-0.019	0.021	10.049	-15.915	12.02	3.41	-4.12	-242.22	14.40	6.75	-0.01	0.02	89.91	80.98	82.31	82.26	80.01	-1.631
0.220	-0.03	0.22	-0.019	0.031	10.046	-23.043	12.01	0.14	-4.14	-242.57	14.48	3.97	0.00	0.02	89.87	81.03	82.37	82.21	79.97	-1.436
0.240	-0.03	0.26	-0.018	0.031	10.047	-19.619	12.01	3.22	-4.78	-242.28	13.73	7.56	-0.01	0.02	89.84	81.00	82.37	82.26	80.01	-1.512
0.260	-0.03	0.22	-0.024	0.022	10.048	-23.043	12.01	2.47	-4.12	-242.26	14.26	5.93	-0.01	0.02	89.87	80.95	82.37	82.29	79.97	-1.436
0.280	-0.02	0.26	-0.018	0.021	10.047	-12.212	12.02	0.39	-4.27	-241.98	13.94	4.52	0.00	0.02	89.84	80.95	82.45	82.26	79.99	-1.823
0.300	-0.03	0.30	-0.017	0.031	10.046	-17.080	12.02	4.13	-4.31	-242.62	13.98	8.00	-0.02	0.02	89.84	80.95	82.42	82.23	79.98	-1.588
0.320	-0.02	0.26	-0.021	0.030	10.048	-14.064	12.02	1.30	-3.83	-242.29	14.26	4.76	-0.01	0.02	89.84	80.95	82.51	82.34	79.98	-1.714
