TIRF Data File: Project 1320; Run 126
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none	SAE
27.220	24.95	500.59	-0.009	0.024	9.847	8.377	9.97	769.68	-24.81	-339.12	12.33	42.05	-2.27	0.07	100.87	151.59	149.06	166.50	79.62	0.175	0.216
27.580	25.04	501.30	-0.006	0.022	9.844	8.397	9.98	751.22	-23.65	-341.36	15.40	39.11	-2.20	0.07	101.40	152.64	150.00	167.51	79.65	0.172	0.213
27.600	25.03	500.91	-0.006	0.027	9.844	8.399	9.98	751.45	-23.27	-338.69	4.44	41.23	-2.22	0.07	101.37	152.69	149.97	167.57	79.63	0.172	0.213
27.620	25.02	500.05	-0.002	0.027	9.845	8.409	9.97	745.19	-23.89	-339.33	3.99	28.48	-2.20	0.07	101.26	152.69	150.03	167.62	79.65	0.171	0.212
27.640	25.00	499.15	-0.003	0.024	9.844	8.418	9.97	746.96	-25.40	-342.63	10.67	20.41	-2.18	0.07	101.26	152.77	150.11	167.62	79.64	0.169	0.210
27.660	24.97	497.98	-0.006	0.015	9.846	8.426	9.99	755.43	-26.28	-344.36	19.73	22.48	-2.19	0.08	101.44	152.75	150.20	167.70	79.65	0.168	0.209
27.680	24.94	496.45	-0.015	0.015	9.846	8.443	9.97	758.33	-25.62	-344.59	25.24	29.09	-2.20	0.07	101.23	152.69	150.20	167.70	79.66	0.166	0.207
27.700	24.93	494.97	-0.011	0.017	9.846	8.467	9.96	760.83	-25.37	-341.44	16.27	38.68	-2.23	0.07	101.33	152.69	150.20	167.75	79.65	0.163	0.203
27.720	24.93	493.44	-0.006	0.017	9.847	8.490	9.98	763.82	-25.15	-339.11	4.40	41.60	-2.25	0.07	101.26	152.72	150.28	167.77	79.68	0.160	0.200
27.740	24.91	492.15	-0.009	0.021	9.845	8.507	9.98	761.66	-25.03	-338.86	1.83	29.41	-2.25	0.07	101.65	152.77	150.31	167.80	79.64	0.157	0.198
27.760	24.92	491.14	-0.006	0.025	9.845	8.527	9.98	766.93	-28.12	-342.59	8.82	21.93	-2.24	0.08	101.37	152.82	150.45	167.75	79.68	0.155	0.195
27.780	24.92	490.28	-0.009	0.006	9.847	8.542	9.98	771.75	-29.59	-344.47	16.98	23.73	-2.24	0.09	101.23	152.90	150.45	167.80	79.65	0.153	0.193
27.800	24.92	489.57	-0.008	0.021	9.845	8.555	9.98	767.91	-28.63	-344.73	22.73	28.25	-2.23	0.08	101.26	152.90	150.45	167.83	79.68	0.151	0.191
27.820	24.91	489.22	-0.009	0.022	9.847	8.556	9.97	768.74	-26.80	-341.41	16.19	40.49	-2.25	0.08	100.77	152.85	150.48	167.77	79.67	0.151	0.191
27.840	24.90	489.10	-0.005	0.024	9.846	8.556	9.98	765.26	-24.23	-338.13	5.29	41.36	-2.26	0.07	101.37	152.96	150.48	167.83	79.66	0.151	0.191
27.860	24.91	489.34	-0.008	0.021	9.847	8.554	9.99	757.61	-25.17	-338.71	2.54	30.00	-2.24	0.07	100.84	152.93	150.48	167.80	79.68	0.151	0.191
27.880	24.91	489.89	-0.006	0.021	9.845	8.547	9.95	759.06	-27.94	-341.17	6.79	23.44	-2.22	0.08	101.09	153.09	150.51	167.75	79.66	0.152	0.192
27.900	24.95	490.24	-0.003	0.021	9.848	8.552	9.97	760.98	-28.66	-343.66	15.92	20.64	-2.21	0.08	101.33	153.04	150.56	167.83	79.69	0.151	0.191
27.920	24.98	490.67	-0.005	0.025	9.846	8.555	9.96	759.34	-26.89	-344.63	23.55	26.76	-2.20	0.08	101.37	153.06	150.56	167.80	79.65	0.151	0.191
27.940	25.00	490.90	-0.005	0.024	9.847	8.559	9.97	760.27	-25.05	-342.25	19.13	38.41	-2.22	0.07	101.37	153.01	150.54	167.72	79.69	0.150	0.190
27.960	25.02	490.90	-0.006	0.021	9.847	8.565	9.98	758.43	-25.13	-338.70	6.48	39.69	-2.24	0.07	101.44	153.09	150.62	167.72	79.67	0.150	0.189
27.980	25.05	490.75	-0.011	0.024	9.847	8.580	9.97	756.45	-25.64	-338.16	1.62	31.37	-2.24	0.08	101.37	153.06	150.59	167.75	79.68	0.148	0.187
28.000	25.07	490.39	-0.008	0.022	9.847	8.592	9.98	762.80	-27.49	-340.95	7.07	24.57	-2.24	0.08	101.33	153.14	150.59	167.72	79.69	0.146	0.186
28.020	25.06	489.77	-0.012	0.021	9.846	8.601	9.97	769.19	-28.06	-344.05	16.54	21.81	-2.24	0.08	101.40	153.19	150.68	167.70	79.67	0.145	0.184
28.040	25.06	488.64	-0.003	0.025	9.846	8.621	9.97	773.74	-29.57	-345.81	24.35	28.45	-2.24	0.09	101.47	153.17	150.59	167.75	79.71	0.142	0.182
28.060	25.08	487.27	-0.008	0.022	9.848	8.649	9.97	775.46	-29.90	-343.70	20.76	38.91	-2.26	0.09	101.62	153.22	150.65	167.72	79.67	0.139	0.178
28.080	25.09	485.70	-0.008	0.021	9.848	8.681	9.97	775.41	-28.89	-339.36	8.20	41.36	-2.28	0.09	101.23	153.25	150.71	167.64	79.71	0.134	0.174
28.100	25.08	484.06	-0.003	0.021	9.847	8.709	9.97	775.99	-29.56	-339.12	3.39	36.22	-2.29	0.09	101.55	153.22	150.76	167.70	79.68	0.131	0.170
28.120	25.07	482.58	-0.005	0.028	9.849	8.731	9.97	775.32	-30.64	-342.37	7.39	25.31	-2.26	0.09	101.47	153.30	150.73	167.67	79.69	0.128	0.167
28.140	25.05	481.09	-0.003	0.021	9.849	8.752	9.99	778.99	-34.01	-345.69	14.54	20.55	-2.25	0.10	101.58	153.32	150.79	167.72	79.69	0.125	0.164
28.160	25.02	479.72	-0.008	0.022	9.847	8.766	9.98	783.28	-34.75	-345.87	20.29	27.71	-2.26	0.10	101.69	153.35	150.82	167.70	79.68	0.123	0.162
28.180	25.00	478.43	-0.014	0.021	9.851	8.781	9.97	779.88	-33.02	-343.56	20.50	36.31	-2.27	0.10	101.44	153.30	150.79	167.67	79.71	0.122	0.160
28.200	24.97	477.46	-0.008	0.021	9.850	8.790	9.98	776.95	-31.04	-341.50	12.46	43.59	-2.28	0.09	101.65	153.32	150.76	167.62	79.67	0.121	0.159
28.220	24.95	476.83	-0.003	0.018	9.850	8.793	9.96	772.60	-30.16	-338.00	2.61	40.12	-2.29	0.09	101.69	153.32	150.76	167.59	79.71	0.120	0.159
28.240	24.92	476.56	-0.006	0.021	9.850	8.789	9.97	766.66	-30.93	-339.34	4.48	26.75	-2.26	0.09	101.69	153.27	150.76	167.57	79.67	0.121	0.159
28.260	24.90	476.48	-0.002	0.022	9.851	8.783	9.96	770.25	-32.92	-341.51	11.12	22.78	-2.26	0.10	102.01	153.27	150.71	167.57	79.71	0.122	0.160
28.280	24.87	476.68	-0.006	0.025	9.851	8.768	9.96	772.03	-33.79	-343.31	20.00	25.20	-2.25	0.10	102.18	153.25	150.71	167.51	79.68	0.124	0.162
28.300	24.82	476.64	-0.005	0.030	9.851	8.752	9.99	765.38	-33.44	-343.22	23.92	30.67	-2.23	0.10	101.72	153.22	150.65	167.46	79.70	0.125	0.164
28.320	24.79	476.60	-0.009	0.021	9.851	8.743	9.97	764.29	-30.83	-338.91	15.20	41.35	-2.26	0.09	101.76	153.14	150.54	167.46	79.70	0.127	0.165
28.340	24.78	476.68	-0.009	0.021	9.850	8.738	9.99	760.42	-28.88	-335.02	3.60	40.04	-2.27	0.09	101.58	153.04	150.48	167.41	79.67	0.127	0.166
28.360	24.77	476.68	-0.003	0.025	9.850	8.733	9.99	755.56	-29.06	-335.21	1.33	28.60	-2.25	0.09	101.86	153.04	150.45	167.36	79.72	0.128	0.167
28.380	24.79	476.48	-0.005	0.025	9.850	8.744	9.97	760.69	-32.14	-339.65	7.49	22.90	-2.24	0.09	101.79	152.98	150.34	167.33	79.67	0.127	0.165
28.400	24.81	476.05	-0.008	0.021	9.851	8.759	9.96	764.70	-32.71	-342.60	16.06	22.97	-2.23	0.10	101.86	152.96	150.31	167.33	79.72	0.125	0.163
28.420	24.82	475.15	-0.002	0.027	9.850	8.781	9.98	764.34	-31.57	-343.55	22.64	30.23	-2.22	0.09	101.90	152.82	150.22	167.33	79.68	0.122	0.160
28.440	24.84	473.94	-0.006	0.017	9.851	8.807	9.98	764.12	-31.89	-341.36	17.92	42.18	-2.24	0.09	101.86	152.82	150.17	167.30	79.70	0.119	0.157
28.460	24.87	472.53	0.000	0.008	9.852	8.846	9.96	759.37	-30.54	-338.06	6.58	42.10	-2.25	0.09	101.72	152.75	150.14	167.25	79.70	0.114	0.152
28.480	24.89	471.13	-0.003	0.027	9.850	8.879	9.97	755.52	-29.98	-338.46	2.85	32.33	-2.23	0.09	101.79	152.67	150.11	167.20	79.69	0.109	0.147
28.500	24.89	469.64	-0.008	0.017	9.850	8.909	9.99	761.41	-30.73	-342.20	8.60	25.21	-2.23	0.09	101.97	152.69	150.11	167.20	79.71	0.106	0.144
28.520	24.91	468.27	-0.003	0.015	9.849	8.940	9.99	767.28	-34.12	-346.30	15.32	19.69	-2.22	0.10	101.93	152.67	150.08	167.17	79.68	0.102	0.140
28.540	24.94	466.55	-0.006	0.021	9.851	8.983	9.98	773.66	-37.67	-349.22	21.53	25.92	-2.22	0.11	102.11	152.59	150.05	167.07	79.71	0.097	0.134
28.560	24.97	464.79	-0.006	0.015	9.851	9.029	9.98	777.24	-37.67	-348.33	21.31	37.45	-2.23	0.11	102.08	152.48	150.11	167.07	79.68	0.091	0.128
28.580	24.99	462.92	-0.006	0.024	9.851	9.072	9.98	776.27	-35.89	-344.21	10.46	41.83	-2.26	0.10	101.86	152.40	150.05	166.99	79.72	0.086	0.123
28.600	25.00	461.39	-0.009	0.021	9.852	9.107	9.97	776.97	-34.55	-341.34	1.81	41.05	-2.28	0.10	102.43	152.40	149.97	166.84	79.68	0.082	0.119
