TIRF Data File: Project 1320; Run 51																				
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none
0	0.09	1.44	-0.011	0.025	10.03	9.976	9.98	-6.18	-2.3	-243.06	-0.67	-1.91	0.03	0.01	88.14	103.73	117.93	118.68	83.79	0.005
0.02	0.1	1.44	-0.015	0.025	10.03	11.672	9.99	-5.3	-2.61	-243.48	-0.38	-1.17	0.02	0.01	92.38	103.68	117.93	118.68	83.8	-0.141
0.04	0.1	1.36	-0.014	0.025	10.03	11.985	9.96	-6.01	-2.46	-243.38	-0.62	-1.84	0.02	0.01	83.58	103.6	117.93	118.7	83.78	-0.163
0.06	0.08	1.71	-0.019	0.024	10.031	8.094	9.97	-6.06	-2.45	-243	-0.49	-1.73	0.02	0.01	76.86	103.71	117.95	118.7	83.81	0.239
0.08	0.09	2.22	-0.017	0.022	10.033	6.459	9.98	-5.42	-2.45	-242.96	-0.35	-1.35	0.02	0.01	84.82	103.68	117.93	118.73	83.78	0.553
0.1	0.09	2.57	-0.017	0.024	10.032	5.953	9.98	-6.23	-2.14	-242.43	-0.12	-1.79	0.03	0.01	90.9	103.63	117.95	118.78	83.82	0.685
0.12	0.1	2.69	-0.014	0.027	10.032	6.056	9.98	-5.58	-2.61	-242.1	-0.52	-1.22	0.02	0.01	87.79	103.6	117.95	118.81	83.79	0.656
0.14	0.09	2.8	-0.018	0.028	10.032	5.455	9.98	-5.54	-2.3	-241.75	-0.36	-1.32	0.02	0.01	78.94	103.63	117.98	118.78	83.82	0.839
0.16	0.09	2.65	-0.015	0.025	10.032	5.41	9.98	-5.83	-2.14	-242.02	0.13	-1.57	0.02	0.01	80.32	103.6	117.95	118.83	83.8	0.854
0.18	0.09	2.57	-0.008	0.03	10.032	5.764	9.97	-5.42	-1.99	-241.42	-0.33	-1.15	0.02	0.01	88.32	103.65	118.01	118.81	83.8	0.74
0.2	0.1	2.45	-0.014	0.03	10.032	6.635	9.98	-6.06	-2.15	-241.27	-0.48	-1.72	0.03	0.01	92	103.63	118.01	118.83	83.83	0.512
0.22	0.1	2.33	-0.017	0.03	10.031	6.969	9.99	-5.88	-2.46	-241.4	-0.45	-1.46	0.02	0.01	82.55	103.58	118.01	118.81	83.79	0.439
0.24	0.09	2.18	-0.017	0.022	10.031	6.575	9.99	-5.65	-2.29	-240.78	-0.73	-1.3	0.02	0.01	76.54	103.6	118.12	118.86	83.84	0.526
0.26	0.08	2.02	-0.014	0.03	10.032	6.842	9.98	-5.89	-2.15	-241.37	-0.15	-1.65	0.02	0.01	84.85	103.58	118.07	118.81	83.8	0.466
0.28	0.09	2.02	-0.014	0.027	10.032	7.806	9.96	-5.3	-2.46	-241.07	-0.57	-1.17	0.02	0.01	90.93	103.52	118.21	118.81	83.84	0.285
