TIRF Data File: Project 1320; Run 54
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg F	deg F	deg F	deg F	deg F	none
0.000	0.07	1.28	-0.009	0.034	10.049	9.672	11.95	-5.22	-5.31	-242.42	-0.64	-3.09	0.02	0.02	84.21	106.26	118.55	116.75	84.10	0.039
0.020	0.09	1.28	-0.012	0.033	10.048	11.576	11.96	-4.99	-5.47	-242.68	-0.32	-2.93	0.02	0.02	90.23	106.29	118.61	116.72	84.07	-0.132
0.040	0.10	1.36	-0.008	0.028	10.052	12.344	11.95	-5.28	-5.62	-241.91	-0.84	-3.18	0.02	0.02	86.02	106.29	118.61	116.72	84.09	-0.186
0.060	0.09	1.67	-0.009	0.033	10.048	9.450	11.97	-4.76	-5.31	-242.20	-0.44	-2.78	0.02	0.02	77.63	106.23	118.61	116.77	84.08	0.063
0.080	0.08	2.06	-0.008	0.033	10.048	6.476	11.96	-4.94	-5.31	-242.36	-0.37	-3.04	0.02	0.02	80.18	106.29	118.61	116.72	84.09	0.552
0.100	0.08	2.45	-0.006	0.027	10.049	5.444	11.96	-5.22	-5.30	-242.55	-0.41	-3.09	0.02	0.02	88.03	106.34	118.69	116.85	84.11	0.846
0.120	0.10	2.53	-0.012	0.030	10.047	6.623	11.96	-4.48	-5.31	-242.06	-0.62	-2.73	0.02	0.02	91.04	106.31	118.66	116.85	84.08	0.517
0.140	0.09	2.57	-0.008	0.033	10.048	6.143	11.94	-5.23	-5.47	-242.53	-0.39	-3.29	0.02	0.02	81.46	106.34	118.69	116.85	84.13	0.636
0.160	0.08	2.41	-0.014	0.025	10.048	5.734	11.96	-4.94	-5.77	-242.23	-0.78	-3.04	0.02	0.02	75.41	106.29	118.64	116.88	84.09	0.752
0.180	0.08	2.37	-0.011	0.028	10.049	5.623	11.95	-4.66	-5.30	-242.52	-0.29	-2.99	0.02	0.02	83.61	106.29	118.64	116.90	84.12	0.787
0.200	0.09	2.26	-0.006	0.031	10.048	6.563	11.96	-5.40	-5.46	-242.36	-0.45	-3.35	0.02	0.02	89.84	106.31	118.64	116.90	84.10	0.531
0.220	0.09	2.18	-0.009	0.031	10.048	7.245	11.96	-4.26	-5.47	-242.36	-0.45	-2.76	0.02	0.02	89.13	106.29	118.64	116.93	84.11	0.387
0.240	0.08	1.98	-0.009	0.028	10.048	6.977	11.97	-4.38	-5.62	-241.74	-0.91	-2.94	0.02	0.02	79.51	106.26	118.64	116.90	84.12	0.440
0.260	0.08	1.90	-0.006	0.027	10.049	6.752	11.94	-4.72	-5.62	-242.12	-1.03	-3.08	0.02	0.02	75.41	106.26	118.69	116.93	84.11	0.488
0.280	0.07	1.87	-0.011	0.027	10.048	6.110	11.93	-4.37	-5.46	-242.46	-0.10	-2.74	0.02	0.02	84.50	106.29	118.66	116.98	84.13	0.644
0.300	0.09	1.75	-0.006	0.031	10.049	8.191	11.96	-4.83	-5.31	-242.01	-0.37	-3.06	0.02	0.02	90.37	106.26	118.75	116.96	84.10	0.227
0.320	0.09	1.79	-0.002	0.031	10.049	8.285	11.94	-4.60	-5.93	-241.98	-0.57	-2.90	0.02	0.02	89.63	106.31	118.72	116.98	84.14	0.213
0.340	0.08	1.67	-0.011	0.036	10.047	7.700	11.95	-4.83	-5.63	-241.49	-0.62	-3.06	0.02	0.02	79.83	106.26	118.75	116.98	84.10	0.305
0.360	0.07	1.63	-0.006	0.031	10.048	7.287	11.95	-5.06	-5.62	-241.44	-0.34	-3.21	0.02	0.02	75.16	106.29	118.78	116.96	84.13	0.379
0.380	0.07	1.55	-0.008	0.024	10.048	7.341	11.95	-4.53	-5.61	-241.41	-0.17	-2.81	0.02	0.02	84.07	106.23	118.78	116.96	84.12	0.369
0.400	0.09	1.59	-0.009	0.030	10.049	8.996	11.96	-4.77	-5.46	-241.44	-0.25	-2.97	0.02	0.02	90.12	106.29	118.81	117.03	84.12	0.117
0.420	0.09	1.47	-0.008	0.033	10.048	10.372	11.95	-5.00	-5.78	-240.95	-0.62	-3.13	0.02	0.02	89.66	106.31	118.81	117.01	84.14	-0.031
0.440	0.08	1.51	-0.012	0.034	10.047	8.495	11.96	-4.53	-5.62	-241.06	-0.22	-2.81	0.02	0.02	79.83	106.31	118.81	117.01	84.11	0.183
0.460	0.07	1.40	-0.009	0.030	10.048	8.860	11.95	-5.17	-5.61	-241.49	0.26	-3.19	0.02	0.02	75.80	106.31	118.78	117.01	84.15	0.134
0.480	0.07	1.36	-0.006	0.027	10.047	9.115	11.95	-4.81	-5.92	-241.57	-0.29	-2.86	0.02	0.02	84.67	106.34	118.78	117.01	84.11	0.102
0.500	0.08	1.32	-0.011	0.027	10.048	10.493	11.96	-4.65	-5.77	-241.76	-0.27	-2.79	0.02	0.02	90.47	106.31	118.83	117.01	84.14	-0.042
0.520	0.09	1.32	-0.011	0.027	10.047	11.602	11.95	-5.40	-5.77	-241.93	-0.20	-3.35	0.02	0.02	87.43	106.31	118.86	116.98	84.11	-0.134
0.540	0.08	1.63	-0.015	0.028	10.046	7.885	11.97	-4.48	-5.61	-241.79	-0.32	-2.72	0.02	0.02	78.41	106.34	118.89	117.03	84.14	0.274
0.560	0.07	2.10	-0.009	0.027	10.047	5.892	11.96	-4.88	-5.92	-241.63	-0.55	-2.95	0.02	0.02	78.09	106.34	118.86	117.03	84.14	0.705
0.580	0.08	2.49	-0.006	0.034	10.046	5.163	11.96	-5.04	-5.93	-242.51	0.20	-3.02	0.02	0.02	86.62	106.36	118.83	117.06	84.12	0.946
0.600	0.09	2.69	-0.008	0.028	10.046	5.875	11.99	-4.59	-5.93	-241.95	-0.42	-2.71	0.02	0.02	91.32	106.42	118.81	117.06	84.14	0.710
0.620	0.09	2.69	-0.014	0.030	10.045	5.694	11.96	-5.56	-6.08	-242.09	-0.31	-3.23	0.02	0.03	83.61	106.42	118.86	117.06	84.12	0.764
0.640	0.08	2.57	-0.009	0.033	10.045	5.385	11.95	-5.21	-6.24	-242.57	-0.22	-3.09	0.02	0.03	76.29	106.44	118.89	117.11	84.15	0.865
0.660	0.08	2.41	-0.011	0.030	10.045	5.734	11.96	-5.27	-6.08	-242.09	-0.32	-2.98	0.02	0.03	82.52	106.50	118.86	117.16	84.12	0.752
0.680	0.09	2.37	-0.006	0.034	10.044	6.238	11.96	-5.22	-5.93	-241.87	-0.06	-3.09	0.02	0.02	89.20	106.44	118.86	117.19	84.14	0.610
0.700	0.10	2.22	-0.014	0.030	10.045	7.557	11.97	-4.92	-6.24	-241.87	-0.21	-2.84	0.02	0.03	87.86	106.47	118.81	117.19	84.13	0.329
0.720	0.09	2.10	-0.006	0.031	10.045	7.051	11.95	-5.22	-5.93	-241.41	-0.37	-3.09	0.02	0.02	78.59	106.52	118.81	117.22	84.13	0.424
0.740	0.09	2.02	-0.006	0.036	10.047	7.083	11.94	-5.44	-6.24	-242.17	0.03	-3.24	0.02	0.03	78.38	106.52	118.89	117.24	84.15	0.418
0.760	0.09	1.98	-0.009	0.031	10.045	7.223	11.95	-4.92	-6.08	-242.10	0.39	-2.84	0.02	0.03	86.76	106.47	118.92	117.27	84.12	0.391
0.780	0.10	1.87	-0.014	0.030	10.044	8.982	11.96	-5.40	-6.08	-241.87	-0.12	-3.35	0.02	0.03	91.32	106.44	118.95	117.24	84.16	0.118
0.800	0.10	1.83	-0.012	0.030	10.045	8.907	11.96	-5.27	-6.08	-242.54	0.01	-3.17	0.02	0.03	83.47	106.50	118.92	117.27	84.12	0.128
0.820	0.08	1.71	-0.003	0.034	10.044	8.094	11.96	-4.64	-6.24	-242.54	-0.10	-2.79	0.02	0.03	76.11	106.47	119.00	117.24	84.16	0.241
0.840	0.08	1.75	-0.011	0.030	10.045	7.356	11.95	-5.10	-6.39	-242.28	-0.55	-3.11	0.02	0.03	80.36	106.50	118.98	117.32	84.12	0.366
0.860	0.08	1.67	-0.009	0.036	10.044	7.700	11.96	-4.81	-6.25	-242.82	-0.56	-2.86	0.02	0.03	88.07	106.50	119.00	117.22	84.13	0.304
0.880	0.09	1.59	-0.006	0.028	10.044	9.914	11.95	-4.99	-6.08	-242.98	-0.37	-3.13	0.02	0.03	91.71	106.52	119.06	117.24	84.14	0.013
0.900	0.08	1.51	-0.014	0.028	10.046	9.139	11.94	-5.05	-6.39	-244.30	-0.15	-3.22	0.02	0.03	82.27	106.47	119.06	117.32	84.13	0.099
0.920	0.08	1.51	-0.009	0.030	10.045	8.495	11.97	-4.53	-6.24	-243.78	-0.14	-2.81	0.02	0.03	75.55	106.47	119.03	117.30	84.15	0.182
0.940	0.07	1.44	-0.009	0.031	10.045	8.619	11.96	-5.00	-5.93	-243.79	0.02	-3.13	0.02	0.02	81.53	106.47	119.09	117.37	84.11	0.165
0.960	0.08	1.40	-0.011	0.025	10.044	9.209	11.97	-4.76	-6.55	-243.79	-0.28	-2.97	0.02	0.03	88.78	106.47	119.09	117.40	84.16	0.091
0.980	0.09	1.44	-0.011	0.031	10.045	10.654	11.95	-4.64	-6.09	-244.14	-0.06	-2.80	0.02	0.02	91.18	106.47	119.09	117.40	84.12	-0.057
1.000	0.09	1.40	-0.012	0.030	10.044	10.604	11.96	-5.45	-6.24	-243.66	-0.33	-3.44	0.02	0.03	81.35	106.47	119.09	117.43	84.15	-0.053
1.020	0.07	1.55	-0.011	0.027	10.044	7.654	11.97	-4.99	-6.08	-243.79	-0.04	-3.13	0.02	0.02	75.16	106.47	119.09	117.43	84.14	0.312
1.040	0.07	2.14	-0.011	0.030	10.045	5.556	11.97	-4.76	-6.40	-243.14	-0.48	-2.97	0.02	0.03	83.05	106.42	119.09	117.50	84.13	0.808
1.060	0.08	2.49	-0.009	0.033	10.044	5.554	11.96	-5.16	-6.40	-243.25	-0.17	-3.20	0.02	0.03	89.70	106.42	119.20	117.45	84.15	0.809
1.080	0.09	2.73	-0.009	0.033	10.044	5.612	11.95	-4.82	-6.56	-242.82	-0.71	-3.06	0.02	0.03	89.55	106.47	119.15	117.53	84.12	0.790
1.100	0.09	2.65	-0.009	0.034	10.044	5.410	11.96	-5.45	-6.24	-242.90	-0.09	-3.44	0.02	0.03	79.86	106.44	119.17	117.58	84.15	0.857
1.120	0.08	2.61	-0.011	0.030	10.045	4.931	11.96	-4.99	-6.55	-242.68	-0.04	-3.12	0.02	0.03	76.40	106.50	119.15	117.58	84.12	1.037
1.140	0.07	2.53	-0.009	0.037	10.045	4.890	11.96	-4.64	-6.40	-242.19	-0.19	-2.79	0.02	0.03	85.35	106.57	119.17	117.63	84.16	1.054
1.160	0.09	2.37	-0.009	0.030	10.045	6.238	11.96	-5.11	-6.23	-241.65	-0.01	-3.30	0.02	0.03	90.76	106.57	119.20	117.61	84.13	0.610
1.180	0.09	2.30	-0.011	0.025	10.046	6.875	11.96	-4.93	-6.54	-241.56	0.23	-3.03	0.02	0.03	86.69	106.50	119.20	117.61	84.14	0.461
1.200	0.08	2.22	-0.009	0.030	10.045	6.239	11.97	-5.05	-6.54	-241.48	0.61	-3.20	0.02	0.03	77.99	106.50	119.26	117.66	84.15	0.610
1.220	0.08	2.10	-0.011	0.028	10.046	6.356	11.96	-5.22	-6.85	-241.08	-0.14	-3.28	0.02	0.03	78.24	106.55	119.23	117.69	84.12	0.581
1.240	0.07	1.94	-0.009	0.033	10.044	6.115	11.94	-5.33	-6.70	-240.89	-0.01	-3.25	0.02	0.03	86.90	106.55	119.23	117.71	84.15	0.643
1.260	0.09	1.87	-0.009	0.037	10.045	7.938	11.96	-5.62	-6.55	-240.84	0.31	-3.50	0.02	0.03	91.61	106.47	119.26	117.79	84.12	0.265
1.280	0.09	1.83	-0.014	0.028	10.044	8.108	11.96	-5.27	-6.54	-240.70	0.16	-3.17	0.02	0.03	85.03	106.55	119.26	117.82	84.16	0.239
1.300	0.08	1.79	-0.014	0.031	10.045	7.195	11.95	-5.10	-6.54	-240.70	0.14	-3.10	0.02	0.03	77.07	106.47	119.26	117.84	84.12	0.396
1.320	0.07	1.67	-0.011	0.028	10.046	7.408	11.97	-5.67	-6.69	-240.97	0.47	-3.39	0.02	0.03	79.12	106.52	119.23	117.82	84.16	0.356
1.340	0.07	1.67	-0.006	0.028	10.044	7.117	11.96	-5.09	-6.54	-240.96	0.55	-2.90	0.02	0.03	87.50	106.50	119.29	117.87	84.13	0.411
1.360	0.09	1.59	-0.015	0.027	10.045	9.608	11.96	-5.55	-6.23	-241.05	0.33	-3.22	0.02	0.03	91.85	106.52	119.26	117.90	84.13	0.045
1.380	0.09	1.55	-0.009	0.033	10.044	9.536	11.95	-5.72	-6.70	-241.27	-0.14	-3.29	0.02	0.03	83.01	106.52	119.20	117.87	84.14	0.053
1.400	0.08	1.55	-0.009	0.028	10.043	8.281	11.96	-4.91	-6.54	-241.75	0.16	-2.64	0.02	0.03	76.04	106.52	119.26	117.95	84.12	0.213
1.420	0.08	1.44	-0.011	0.030	10.042	9.297	11.96	-5.32	-6.39	-241.92	0.30	-3.06	0.02	0.03	82.66	106.52	119.26	117.95	84.16	0.080
1.440	0.08	1.44	-0.008	0.028	10.043	9.297	11.97	-5.60	-6.86	-242.17	-0.27	-3.12	0.02	0.03	89.38	106.55	119.23	117.97	84.12	0.080
1.460	0.09	1.40	-0.015	0.033	10.041	11.301	11.95	-4.92	-7.02	-242.35	-0.44	-2.84	0.02	0.03	88.78	106.50	119.34	117.95	84.15	-0.111
1.480	0.09	1.36	-0.008	0.027	10.043	11.268	11.96	-5.78	-6.85	-242.62	0.07	-3.38	0.02	0.03	79.40	106.55	119.26	117.97	84.13	-0.109
1.500	0.09	1.47	-0.012	0.025	10.043	10.041	11.96	-5.43	-6.54	-242.46	0.17	-3.05	0.02	0.03	78.17	106.52	119.26	117.97	84.14	0.000
1.520	0.08	1.87	-0.008	0.028	10.043	7.154	11.97	-5.43	-6.54	-242.43	0.29	-3.04	0.02	0.03	86.58	106.52	119.32	118.03	84.14	0.404
1.540	0.10	2.37	-0.009	0.025	10.044	7.059	11.93	-5.72	-7.01	-242.30	-0.14	-3.29	0.02	0.03	91.11	106.52	119.26	117.97	84.13	0.423
1.560	0.10	2.69	-0.009	0.034	10.042	6.056	11.96	-5.43	-6.86	-242.30	-0.10	-3.05	0.02	0.03	82.34	106.52	119.29	117.97	84.15	0.658
1.580	0.09	2.73	-0.008	0.034	10.041	5.612	11.96	-5.83	-6.55	-242.22	0.46	-3.27	0.02	0.03	75.76	106.50	119.32	118.00	84.11	0.789
1.600	0.08	2.65	-0.008	0.033	10.042	5.226	11.96	-5.49	-6.70	-242.70	0.58	-3.13	0.02	0.03	83.72	106.50	119.32	118.08	84.16	0.922
1.620	0.09	2.53	-0.011	0.031	10.042	5.853	11.94	-5.38	-6.54	-242.37	0.54	-3.15	0.02	0.03	89.84	106.47	119.29	118.08	84.12	0.716
1.640	0.10	2.45	-0.011	0.034	10.042	6.834	11.97	-5.78	-6.86	-242.22	0.29	-3.37	0.02	0.03	86.58	106.50	119.26	118.05	84.15	0.469
1.660	0.09	2.30	-0.012	0.031	10.042	6.663	11.96	-5.32	-7.01	-242.08	0.03	-3.06	0.02	0.03	77.99	106.47	119.26	118.10	84.13	0.507
1.680	0.09	2.18	-0.002	0.036	10.042	6.575	11.98	-5.72	-6.70	-242.22	0.37	-3.29	0.02	0.03	79.72	106.50	119.29	118.10	84.14	0.527
1.700	0.09	2.02	-0.012	0.031	10.042	7.083	11.98	-5.95	-6.86	-241.76	-0.02	-3.45	0.02	0.03	87.75	106.50	119.26	118.16	84.15	0.418
1.720	0.10	1.98	-0.002	0.033	10.043	8.451	11.95	-5.43	-6.86	-242.05	0.23	-3.04	0.02	0.03	91.01	106.50	119.20	118.10	84.12	0.188
1.740	0.10	1.90	-0.012	0.031	10.042	8.542	11.96	-6.06	-6.39	-242.05	0.49	-3.42	0.03	0.03	81.56	106.44	119.17	118.16	84.16	0.176
1.760	0.08	1.83	-0.011	0.030	10.042	7.574	11.96	-6.06	-7.01	-242.41	0.17	-3.43	0.03	0.03	76.18	106.47	119.17	118.16	84.12	0.326
1.780	0.08	1.79	-0.011	0.027	10.043	7.740	11.95	-5.77	-6.85	-241.92	0.07	-3.18	0.02	0.03	84.67	106.42	119.09	118.16	84.15	0.298
1.800	0.09	1.75	-0.011	0.031	10.042	8.749	11.96	-6.06	-6.54	-242.27	0.22	-3.43	0.03	0.03	90.44	106.44	119.06	118.13	84.12	0.148
