TIRF Data File: Project 1965; Run 056; Date 08-01-2018; Time 21:22; ISO False; ID mk3QaiF
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	mph	rpm	deg	deg	in	in	psi	lb	lb	lb	ft-lb	ft-lb	none	none	deg f	deg f	deg f	deg f	deg f	SAE
0.000	24.91	425.29	0.005	-0.002	9.76	9.84	12.03	-34.53	-59.68	-243.83	86.75	3.47	0.1416	0.2448	90.95	81.86	78.78	83.31	80.60	-0.0087
0.010	24.92	425.49	-0.018	-0.022	9.76	9.84	11.97	-39.55	-59.21	-236.39	75.79	5.31	0.1673	0.2505	90.94	81.78	78.81	83.39	80.60	-0.0082
0.020	24.92	425.97	-0.009	-0.012	9.76	9.83	11.97	-45.34	-60.06	-229.70	66.00	3.14	0.1974	0.2615	91.02	81.86	78.78	83.46	80.58	-0.0074
0.030	24.94	426.18	0.021	0.016	9.76	9.83	12.03	-50.12	-60.47	-225.21	60.13	-2.62	0.2226	0.2685	91.10	81.94	78.75	83.52	80.58	-0.0078
0.040	24.94	426.11	-0.021	-0.009	9.76	9.84	12.05	-53.19	-59.59	-223.32	60.02	-11.72	0.2382	0.2669	91.25	81.97	78.70	83.54	80.61	-0.0079
0.050	24.95	426.04	0.013	0.016	9.76	9.84	12.00	-53.29	-58.83	-224.98	65.81	-20.60	0.2369	0.2615	91.41	81.97	78.67	83.54	80.61	-0.0089
0.060	24.96	425.97	-0.020	-0.018	9.76	9.85	11.95	-51.00	-59.91	-229.45	75.49	-26.70	0.2223	0.2611	91.57	81.94	78.58	83.52	80.58	-0.0086
0.070	24.96	425.90	-0.001	-0.025	9.76	9.85	11.97	-48.22	-62.33	-235.51	85.68	-28.97	0.2047	0.2646	91.79	81.91	78.52	83.51	80.59	-0.0088
0.080	24.97	425.63	0.016	0.006	9.76	9.86	12.02	-46.22	-64.71	-241.69	94.54	-28.35	0.1912	0.2677	91.92	81.86	78.52	83.47	80.62	-0.0102
0.090	24.97	425.56	0.007	-0.009	9.76	9.86	12.03	-44.94	-66.05	-246.94	100.45	-26.25	0.1820	0.2675	92.03	81.81	78.52	83.46	80.59	-0.0104
0.100	24.97	425.63	-0.002	0.010	9.76	9.86	12.00	-43.19	-65.78	-250.56	104.43	-22.78	0.1724	0.2625	92.09	81.83	78.52	83.39	80.58	-0.0105
0.110	24.98	425.43	-0.012	0.010	9.76	9.87	11.97	-41.12	-65.63	-252.55	106.39	-18.25	0.1628	0.2599	92.17	81.83	78.61	83.28	80.64	-0.0114
0.120	24.98	425.49	-0.020	-0.002	9.76	9.87	11.97	-38.16	-64.06	-252.58	105.97	-10.96	0.1511	0.2536	92.27	81.75	78.67	83.20	80.69	-0.0109
0.130	24.98	425.70	-0.001	-0.007	9.76	9.86	12.02	-35.87	-63.15	-248.52	99.22	-3.42	0.1444	0.2541	92.35	81.67	78.67	83.18	80.62	-0.0104
0.140	24.98	425.63	0.017	0.015	9.76	9.86	12.08	-35.30	-62.81	-242.44	88.02	2.21	0.1456	0.2591	92.39	81.56	78.75	83.15	80.58	-0.0110
